,file,case,framenumber,class
102,33008_sessie3_taskrobotEngagement,visible,102,1
103,33008_sessie3_taskrobotEngagement,visible,103,1
104,33008_sessie3_taskrobotEngagement,visible,104,1
105,33008_sessie3_taskrobotEngagement,visible,105,1
106,33008_sessie3_taskrobotEngagement,visible,106,1
107,33008_sessie3_taskrobotEngagement,visible,107,1
108,33008_sessie3_taskrobotEngagement,visible,108,1
109,33008_sessie3_taskrobotEngagement,visible,109,1
110,33008_sessie3_taskrobotEngagement,visible,110,1
111,33008_sessie3_taskrobotEngagement,visible,111,1
112,33008_sessie3_taskrobotEngagement,visible,112,1
113,33008_sessie3_taskrobotEngagement,visible,113,1
114,33008_sessie3_taskrobotEngagement,visible,114,1
115,33008_sessie3_taskrobotEngagement,visible,115,1
116,33008_sessie3_taskrobotEngagement,visible,116,1
117,33008_sessie3_taskrobotEngagement,visible,117,1
118,33008_sessie3_taskrobotEngagement,visible,118,1
119,33008_sessie3_taskrobotEngagement,visible,119,1
120,33008_sessie3_taskrobotEngagement,visible,120,1
121,33008_sessie3_taskrobotEngagement,visible,121,1
122,33008_sessie3_taskrobotEngagement,visible,122,1
123,33008_sessie3_taskrobotEngagement,visible,123,1
124,33008_sessie3_taskrobotEngagement,visible,124,1
125,33008_sessie3_taskrobotEngagement,visible,125,1
126,33008_sessie3_taskrobotEngagement,visible,126,1
127,33008_sessie3_taskrobotEngagement,visible,127,1
128,33008_sessie3_taskrobotEngagement,visible,128,1
129,33008_sessie3_taskrobotEngagement,visible,129,1
130,33008_sessie3_taskrobotEngagement,visible,130,1
131,33008_sessie3_taskrobotEngagement,visible,131,1
132,33008_sessie3_taskrobotEngagement,visible,132,1
133,33008_sessie3_taskrobotEngagement,visible,133,1
134,33008_sessie3_taskrobotEngagement,visible,134,1
135,33008_sessie3_taskrobotEngagement,visible,135,1
136,33008_sessie3_taskrobotEngagement,visible,136,1
137,33008_sessie3_taskrobotEngagement,visible,137,1
138,33008_sessie3_taskrobotEngagement,visible,138,1
139,33008_sessie3_taskrobotEngagement,visible,139,1
140,33008_sessie3_taskrobotEngagement,visible,140,1
141,33008_sessie3_taskrobotEngagement,visible,141,1
142,33008_sessie3_taskrobotEngagement,visible,142,1
143,33008_sessie3_taskrobotEngagement,visible,143,1
144,33008_sessie3_taskrobotEngagement,visible,144,1
145,33008_sessie3_taskrobotEngagement,visible,145,1
146,33008_sessie3_taskrobotEngagement,visible,146,1
147,33008_sessie3_taskrobotEngagement,visible,147,1
148,33008_sessie3_taskrobotEngagement,visible,148,1
149,33008_sessie3_taskrobotEngagement,visible,149,1
150,33008_sessie3_taskrobotEngagement,visible,150,1
151,33008_sessie3_taskrobotEngagement,visible,151,1
152,33008_sessie3_taskrobotEngagement,visible,152,1
153,33008_sessie3_taskrobotEngagement,visible,153,1
154,33008_sessie3_taskrobotEngagement,visible,154,1
155,33008_sessie3_taskrobotEngagement,visible,155,1
156,33008_sessie3_taskrobotEngagement,visible,156,1
157,33008_sessie3_taskrobotEngagement,visible,157,1
158,33008_sessie3_taskrobotEngagement,visible,158,1
159,33008_sessie3_taskrobotEngagement,visible,159,1
160,33008_sessie3_taskrobotEngagement,visible,160,1
161,33008_sessie3_taskrobotEngagement,visible,161,1
162,33008_sessie3_taskrobotEngagement,visible,162,1
163,33008_sessie3_taskrobotEngagement,visible,163,1
164,33008_sessie3_taskrobotEngagement,visible,164,1
165,33008_sessie3_taskrobotEngagement,visible,165,1
166,33008_sessie3_taskrobotEngagement,visible,166,1
167,33008_sessie3_taskrobotEngagement,visible,167,1
168,33008_sessie3_taskrobotEngagement,visible,168,1
169,33008_sessie3_taskrobotEngagement,visible,169,1
170,33008_sessie3_taskrobotEngagement,visible,170,1
171,33008_sessie3_taskrobotEngagement,visible,171,1
172,33008_sessie3_taskrobotEngagement,visible,172,1
173,33008_sessie3_taskrobotEngagement,visible,173,1
174,33008_sessie3_taskrobotEngagement,visible,174,1
175,33008_sessie3_taskrobotEngagement,visible,175,1
176,33008_sessie3_taskrobotEngagement,visible,176,1
177,33008_sessie3_taskrobotEngagement,visible,177,1
178,33008_sessie3_taskrobotEngagement,visible,178,1
179,33008_sessie3_taskrobotEngagement,visible,179,1
180,33008_sessie3_taskrobotEngagement,visible,180,1
181,33008_sessie3_taskrobotEngagement,visible,181,1
182,33008_sessie3_taskrobotEngagement,visible,182,1
183,33008_sessie3_taskrobotEngagement,visible,183,1
184,33008_sessie3_taskrobotEngagement,visible,184,1
185,33008_sessie3_taskrobotEngagement,visible,185,1
186,33008_sessie3_taskrobotEngagement,visible,186,1
187,33008_sessie3_taskrobotEngagement,visible,187,1
188,33008_sessie3_taskrobotEngagement,visible,188,1
189,33008_sessie3_taskrobotEngagement,visible,189,1
190,33008_sessie3_taskrobotEngagement,visible,190,1
191,33008_sessie3_taskrobotEngagement,visible,191,1
192,33008_sessie3_taskrobotEngagement,visible,192,1
193,33008_sessie3_taskrobotEngagement,visible,193,1
194,33008_sessie3_taskrobotEngagement,visible,194,1
195,33008_sessie3_taskrobotEngagement,visible,195,1
196,33008_sessie3_taskrobotEngagement,visible,196,1
197,33008_sessie3_taskrobotEngagement,visible,197,1
198,33008_sessie3_taskrobotEngagement,visible,198,1
199,33008_sessie3_taskrobotEngagement,visible,199,1
200,33008_sessie3_taskrobotEngagement,visible,200,1
201,33008_sessie3_taskrobotEngagement,visible,201,1
202,33008_sessie3_taskrobotEngagement,visible,202,1
203,33008_sessie3_taskrobotEngagement,visible,203,1
204,33008_sessie3_taskrobotEngagement,visible,204,1
205,33008_sessie3_taskrobotEngagement,visible,205,1
206,33008_sessie3_taskrobotEngagement,visible,206,1
207,33008_sessie3_taskrobotEngagement,visible,207,1
208,33008_sessie3_taskrobotEngagement,visible,208,1
209,33008_sessie3_taskrobotEngagement,visible,209,1
210,33008_sessie3_taskrobotEngagement,visible,210,1
211,33008_sessie3_taskrobotEngagement,visible,211,1
212,33008_sessie3_taskrobotEngagement,visible,212,1
213,33008_sessie3_taskrobotEngagement,visible,213,1
214,33008_sessie3_taskrobotEngagement,visible,214,1
215,33008_sessie3_taskrobotEngagement,visible,215,1
216,33008_sessie3_taskrobotEngagement,visible,216,1
217,33008_sessie3_taskrobotEngagement,visible,217,1
218,33008_sessie3_taskrobotEngagement,visible,218,1
219,33008_sessie3_taskrobotEngagement,visible,219,1
220,33008_sessie3_taskrobotEngagement,visible,220,1
221,33008_sessie3_taskrobotEngagement,visible,221,1
222,33008_sessie3_taskrobotEngagement,visible,222,1
223,33008_sessie3_taskrobotEngagement,visible,223,1
224,33008_sessie3_taskrobotEngagement,visible,224,1
225,33008_sessie3_taskrobotEngagement,visible,225,1
226,33008_sessie3_taskrobotEngagement,visible,226,1
227,33008_sessie3_taskrobotEngagement,visible,227,1
228,33008_sessie3_taskrobotEngagement,visible,228,1
229,33008_sessie3_taskrobotEngagement,visible,229,1
230,33008_sessie3_taskrobotEngagement,visible,230,1
231,33008_sessie3_taskrobotEngagement,visible,231,1
232,33008_sessie3_taskrobotEngagement,visible,232,1
233,33008_sessie3_taskrobotEngagement,visible,233,1
234,33008_sessie3_taskrobotEngagement,visible,234,1
235,33008_sessie3_taskrobotEngagement,visible,235,1
236,33008_sessie3_taskrobotEngagement,visible,236,1
237,33008_sessie3_taskrobotEngagement,visible,237,1
238,33008_sessie3_taskrobotEngagement,visible,238,1
239,33008_sessie3_taskrobotEngagement,visible,239,1
240,33008_sessie3_taskrobotEngagement,visible,240,1
241,33008_sessie3_taskrobotEngagement,visible,241,1
242,33008_sessie3_taskrobotEngagement,visible,242,1
243,33008_sessie3_taskrobotEngagement,visible,243,1
244,33008_sessie3_taskrobotEngagement,visible,244,1
245,33008_sessie3_taskrobotEngagement,visible,245,1
246,33008_sessie3_taskrobotEngagement,visible,246,1
247,33008_sessie3_taskrobotEngagement,visible,247,1
248,33008_sessie3_taskrobotEngagement,visible,248,1
249,33008_sessie3_taskrobotEngagement,visible,249,1
250,33008_sessie3_taskrobotEngagement,visible,250,1
251,33008_sessie3_taskrobotEngagement,visible,251,1
252,33008_sessie3_taskrobotEngagement,visible,252,1
253,33008_sessie3_taskrobotEngagement,visible,253,1
254,33008_sessie3_taskrobotEngagement,visible,254,1
255,33008_sessie3_taskrobotEngagement,visible,255,1
256,33008_sessie3_taskrobotEngagement,visible,256,1
257,33008_sessie3_taskrobotEngagement,visible,257,1
258,33008_sessie3_taskrobotEngagement,visible,258,1
259,33008_sessie3_taskrobotEngagement,visible,259,1
260,33008_sessie3_taskrobotEngagement,visible,260,1
261,33008_sessie3_taskrobotEngagement,visible,261,1
262,33008_sessie3_taskrobotEngagement,visible,262,1
263,33008_sessie3_taskrobotEngagement,visible,263,1
264,33008_sessie3_taskrobotEngagement,visible,264,1
265,33008_sessie3_taskrobotEngagement,visible,265,1
266,33008_sessie3_taskrobotEngagement,visible,266,1
267,33008_sessie3_taskrobotEngagement,visible,267,1
268,33008_sessie3_taskrobotEngagement,visible,268,1
269,33008_sessie3_taskrobotEngagement,visible,269,1
270,33008_sessie3_taskrobotEngagement,visible,270,1
271,33008_sessie3_taskrobotEngagement,visible,271,1
272,33008_sessie3_taskrobotEngagement,visible,272,1
273,33008_sessie3_taskrobotEngagement,visible,273,1
274,33008_sessie3_taskrobotEngagement,visible,274,1
275,33008_sessie3_taskrobotEngagement,visible,275,1
276,33008_sessie3_taskrobotEngagement,visible,276,1
277,33008_sessie3_taskrobotEngagement,visible,277,1
278,33008_sessie3_taskrobotEngagement,visible,278,1
279,33008_sessie3_taskrobotEngagement,visible,279,1
280,33008_sessie3_taskrobotEngagement,visible,280,1
281,33008_sessie3_taskrobotEngagement,visible,281,1
282,33008_sessie3_taskrobotEngagement,visible,282,1
283,33008_sessie3_taskrobotEngagement,visible,283,1
284,33008_sessie3_taskrobotEngagement,visible,284,1
285,33008_sessie3_taskrobotEngagement,visible,285,1
286,33008_sessie3_taskrobotEngagement,visible,286,1
287,33008_sessie3_taskrobotEngagement,visible,287,1
288,33008_sessie3_taskrobotEngagement,visible,288,1
289,33008_sessie3_taskrobotEngagement,visible,289,1
290,33008_sessie3_taskrobotEngagement,visible,290,1
291,33008_sessie3_taskrobotEngagement,visible,291,1
292,33008_sessie3_taskrobotEngagement,visible,292,1
293,33008_sessie3_taskrobotEngagement,visible,293,1
294,33008_sessie3_taskrobotEngagement,visible,294,1
295,33008_sessie3_taskrobotEngagement,visible,295,1
296,33008_sessie3_taskrobotEngagement,visible,296,1
297,33008_sessie3_taskrobotEngagement,visible,297,1
298,33008_sessie3_taskrobotEngagement,visible,298,1
299,33008_sessie3_taskrobotEngagement,visible,299,1
300,33008_sessie3_taskrobotEngagement,visible,300,1
301,33008_sessie3_taskrobotEngagement,visible,301,1
302,33008_sessie3_taskrobotEngagement,visible,302,1
303,33008_sessie3_taskrobotEngagement,visible,303,1
304,33008_sessie3_taskrobotEngagement,visible,304,1
305,33008_sessie3_taskrobotEngagement,visible,305,1
306,33008_sessie3_taskrobotEngagement,visible,306,1
307,33008_sessie3_taskrobotEngagement,visible,307,1
308,33008_sessie3_taskrobotEngagement,visible,308,1
309,33008_sessie3_taskrobotEngagement,visible,309,1
310,33008_sessie3_taskrobotEngagement,visible,310,1
311,33008_sessie3_taskrobotEngagement,visible,311,1
312,33008_sessie3_taskrobotEngagement,visible,312,1
313,33008_sessie3_taskrobotEngagement,visible,313,1
314,33008_sessie3_taskrobotEngagement,visible,314,1
315,33008_sessie3_taskrobotEngagement,visible,315,1
316,33008_sessie3_taskrobotEngagement,visible,316,1
317,33008_sessie3_taskrobotEngagement,visible,317,1
318,33008_sessie3_taskrobotEngagement,visible,318,1
319,33008_sessie3_taskrobotEngagement,visible,319,1
320,33008_sessie3_taskrobotEngagement,visible,320,1
321,33008_sessie3_taskrobotEngagement,visible,321,1
322,33008_sessie3_taskrobotEngagement,visible,322,1
323,33008_sessie3_taskrobotEngagement,visible,323,1
324,33008_sessie3_taskrobotEngagement,visible,324,1
325,33008_sessie3_taskrobotEngagement,visible,325,1
326,33008_sessie3_taskrobotEngagement,visible,326,1
327,33008_sessie3_taskrobotEngagement,visible,327,1
328,33008_sessie3_taskrobotEngagement,visible,328,1
329,33008_sessie3_taskrobotEngagement,visible,329,1
330,33008_sessie3_taskrobotEngagement,visible,330,1
331,33008_sessie3_taskrobotEngagement,visible,331,1
332,33008_sessie3_taskrobotEngagement,visible,332,1
333,33008_sessie3_taskrobotEngagement,visible,333,1
334,33008_sessie3_taskrobotEngagement,visible,334,1
335,33008_sessie3_taskrobotEngagement,visible,335,1
336,33008_sessie3_taskrobotEngagement,visible,336,1
337,33008_sessie3_taskrobotEngagement,visible,337,1
338,33008_sessie3_taskrobotEngagement,visible,338,1
339,33008_sessie3_taskrobotEngagement,visible,339,1
340,33008_sessie3_taskrobotEngagement,visible,340,1
341,33008_sessie3_taskrobotEngagement,visible,341,1
342,33008_sessie3_taskrobotEngagement,visible,342,1
343,33008_sessie3_taskrobotEngagement,visible,343,1
344,33008_sessie3_taskrobotEngagement,visible,344,1
345,33008_sessie3_taskrobotEngagement,visible,345,1
346,33008_sessie3_taskrobotEngagement,visible,346,1
347,33008_sessie3_taskrobotEngagement,visible,347,1
348,33008_sessie3_taskrobotEngagement,visible,348,1
349,33008_sessie3_taskrobotEngagement,visible,349,1
350,33008_sessie3_taskrobotEngagement,visible,350,1
351,33008_sessie3_taskrobotEngagement,visible,351,1
352,33008_sessie3_taskrobotEngagement,visible,352,1
353,33008_sessie3_taskrobotEngagement,visible,353,1
354,33008_sessie3_taskrobotEngagement,visible,354,1
355,33008_sessie3_taskrobotEngagement,visible,355,1
356,33008_sessie3_taskrobotEngagement,visible,356,1
357,33008_sessie3_taskrobotEngagement,visible,357,1
358,33008_sessie3_taskrobotEngagement,visible,358,1
359,33008_sessie3_taskrobotEngagement,visible,359,1
360,33008_sessie3_taskrobotEngagement,visible,360,1
361,33008_sessie3_taskrobotEngagement,visible,361,1
362,33008_sessie3_taskrobotEngagement,visible,362,1
363,33008_sessie3_taskrobotEngagement,visible,363,1
364,33008_sessie3_taskrobotEngagement,visible,364,1
365,33008_sessie3_taskrobotEngagement,visible,365,1
366,33008_sessie3_taskrobotEngagement,visible,366,1
367,33008_sessie3_taskrobotEngagement,visible,367,1
368,33008_sessie3_taskrobotEngagement,visible,368,1
369,33008_sessie3_taskrobotEngagement,visible,369,1
370,33008_sessie3_taskrobotEngagement,visible,370,1
371,33008_sessie3_taskrobotEngagement,visible,371,1
372,33008_sessie3_taskrobotEngagement,visible,372,1
373,33008_sessie3_taskrobotEngagement,visible,373,1
374,33008_sessie3_taskrobotEngagement,visible,374,1
375,33008_sessie3_taskrobotEngagement,visible,375,1
376,33008_sessie3_taskrobotEngagement,visible,376,1
377,33008_sessie3_taskrobotEngagement,visible,377,1
378,33008_sessie3_taskrobotEngagement,visible,378,1
379,33008_sessie3_taskrobotEngagement,visible,379,1
380,33008_sessie3_taskrobotEngagement,visible,380,1
381,33008_sessie3_taskrobotEngagement,visible,381,1
382,33008_sessie3_taskrobotEngagement,visible,382,1
383,33008_sessie3_taskrobotEngagement,visible,383,1
384,33008_sessie3_taskrobotEngagement,visible,384,1
385,33008_sessie3_taskrobotEngagement,visible,385,1
386,33008_sessie3_taskrobotEngagement,visible,386,1
387,33008_sessie3_taskrobotEngagement,visible,387,1
388,33008_sessie3_taskrobotEngagement,visible,388,1
389,33008_sessie3_taskrobotEngagement,visible,389,1
390,33008_sessie3_taskrobotEngagement,visible,390,1
391,33008_sessie3_taskrobotEngagement,visible,391,1
392,33008_sessie3_taskrobotEngagement,visible,392,1
393,33008_sessie3_taskrobotEngagement,visible,393,1
394,33008_sessie3_taskrobotEngagement,visible,394,1
395,33008_sessie3_taskrobotEngagement,visible,395,1
396,33008_sessie3_taskrobotEngagement,visible,396,1
397,33008_sessie3_taskrobotEngagement,visible,397,1
398,33008_sessie3_taskrobotEngagement,visible,398,1
399,33008_sessie3_taskrobotEngagement,visible,399,1
400,33008_sessie3_taskrobotEngagement,visible,400,1
401,33008_sessie3_taskrobotEngagement,visible,401,1
402,33008_sessie3_taskrobotEngagement,visible,402,1
403,33008_sessie3_taskrobotEngagement,visible,403,1
404,33008_sessie3_taskrobotEngagement,visible,404,1
405,33008_sessie3_taskrobotEngagement,visible,405,1
406,33008_sessie3_taskrobotEngagement,visible,406,1
407,33008_sessie3_taskrobotEngagement,visible,407,1
408,33008_sessie3_taskrobotEngagement,visible,408,1
409,33008_sessie3_taskrobotEngagement,visible,409,1
410,33008_sessie3_taskrobotEngagement,visible,410,1
411,33008_sessie3_taskrobotEngagement,visible,411,1
412,33008_sessie3_taskrobotEngagement,visible,412,1
413,33008_sessie3_taskrobotEngagement,visible,413,1
414,33008_sessie3_taskrobotEngagement,visible,414,1
415,33008_sessie3_taskrobotEngagement,visible,415,1
416,33008_sessie3_taskrobotEngagement,visible,416,1
417,33008_sessie3_taskrobotEngagement,visible,417,1
418,33008_sessie3_taskrobotEngagement,visible,418,1
419,33008_sessie3_taskrobotEngagement,visible,419,1
420,33008_sessie3_taskrobotEngagement,visible,420,1
421,33008_sessie3_taskrobotEngagement,visible,421,1
422,33008_sessie3_taskrobotEngagement,visible,422,1
423,33008_sessie3_taskrobotEngagement,visible,423,1
424,33008_sessie3_taskrobotEngagement,visible,424,1
425,33008_sessie3_taskrobotEngagement,visible,425,1
426,33008_sessie3_taskrobotEngagement,visible,426,1
427,33008_sessie3_taskrobotEngagement,visible,427,1
428,33008_sessie3_taskrobotEngagement,visible,428,1
429,33008_sessie3_taskrobotEngagement,visible,429,1
430,33008_sessie3_taskrobotEngagement,visible,430,1
431,33008_sessie3_taskrobotEngagement,visible,431,1
432,33008_sessie3_taskrobotEngagement,visible,432,1
433,33008_sessie3_taskrobotEngagement,visible,433,1
434,33008_sessie3_taskrobotEngagement,visible,434,1
435,33008_sessie3_taskrobotEngagement,visible,435,1
436,33008_sessie3_taskrobotEngagement,visible,436,1
437,33008_sessie3_taskrobotEngagement,visible,437,1
438,33008_sessie3_taskrobotEngagement,visible,438,1
439,33008_sessie3_taskrobotEngagement,visible,439,1
440,33008_sessie3_taskrobotEngagement,visible,440,1
441,33008_sessie3_taskrobotEngagement,visible,441,1
442,33008_sessie3_taskrobotEngagement,visible,442,1
443,33008_sessie3_taskrobotEngagement,visible,443,1
444,33008_sessie3_taskrobotEngagement,visible,444,1
445,33008_sessie3_taskrobotEngagement,visible,445,1
446,33008_sessie3_taskrobotEngagement,visible,446,1
447,33008_sessie3_taskrobotEngagement,visible,447,1
448,33008_sessie3_taskrobotEngagement,visible,448,1
449,33008_sessie3_taskrobotEngagement,visible,449,1
450,33008_sessie3_taskrobotEngagement,visible,450,1
451,33008_sessie3_taskrobotEngagement,visible,451,1
452,33008_sessie3_taskrobotEngagement,visible,452,1
453,33008_sessie3_taskrobotEngagement,visible,453,1
454,33008_sessie3_taskrobotEngagement,visible,454,1
455,33008_sessie3_taskrobotEngagement,visible,455,1
456,33008_sessie3_taskrobotEngagement,visible,456,1
457,33008_sessie3_taskrobotEngagement,visible,457,1
458,33008_sessie3_taskrobotEngagement,visible,458,1
459,33008_sessie3_taskrobotEngagement,visible,459,1
460,33008_sessie3_taskrobotEngagement,visible,460,1
461,33008_sessie3_taskrobotEngagement,visible,461,1
462,33008_sessie3_taskrobotEngagement,visible,462,1
463,33008_sessie3_taskrobotEngagement,visible,463,1
464,33008_sessie3_taskrobotEngagement,visible,464,1
465,33008_sessie3_taskrobotEngagement,visible,465,2
466,33008_sessie3_taskrobotEngagement,visible,466,2
467,33008_sessie3_taskrobotEngagement,visible,467,2
468,33008_sessie3_taskrobotEngagement,visible,468,2
469,33008_sessie3_taskrobotEngagement,visible,469,2
470,33008_sessie3_taskrobotEngagement,visible,470,2
471,33008_sessie3_taskrobotEngagement,visible,471,2
472,33008_sessie3_taskrobotEngagement,visible,472,2
473,33008_sessie3_taskrobotEngagement,visible,473,2
474,33008_sessie3_taskrobotEngagement,visible,474,2
475,33008_sessie3_taskrobotEngagement,visible,475,2
476,33008_sessie3_taskrobotEngagement,visible,476,2
477,33008_sessie3_taskrobotEngagement,visible,477,2
478,33008_sessie3_taskrobotEngagement,visible,478,2
479,33008_sessie3_taskrobotEngagement,visible,479,2
480,33008_sessie3_taskrobotEngagement,visible,480,2
481,33008_sessie3_taskrobotEngagement,visible,481,2
482,33008_sessie3_taskrobotEngagement,visible,482,2
483,33008_sessie3_taskrobotEngagement,visible,483,2
484,33008_sessie3_taskrobotEngagement,visible,484,2
485,33008_sessie3_taskrobotEngagement,visible,485,2
486,33008_sessie3_taskrobotEngagement,visible,486,2
487,33008_sessie3_taskrobotEngagement,visible,487,2
488,33008_sessie3_taskrobotEngagement,visible,488,2
489,33008_sessie3_taskrobotEngagement,visible,489,2
490,33008_sessie3_taskrobotEngagement,visible,490,2
491,33008_sessie3_taskrobotEngagement,visible,491,2
492,33008_sessie3_taskrobotEngagement,visible,492,2
493,33008_sessie3_taskrobotEngagement,visible,493,2
494,33008_sessie3_taskrobotEngagement,visible,494,2
495,33008_sessie3_taskrobotEngagement,visible,495,2
496,33008_sessie3_taskrobotEngagement,visible,496,2
497,33008_sessie3_taskrobotEngagement,visible,497,2
498,33008_sessie3_taskrobotEngagement,visible,498,2
499,33008_sessie3_taskrobotEngagement,visible,499,2
500,33008_sessie3_taskrobotEngagement,visible,500,2
501,33008_sessie3_taskrobotEngagement,visible,501,2
502,33008_sessie3_taskrobotEngagement,visible,502,2
503,33008_sessie3_taskrobotEngagement,visible,503,2
504,33008_sessie3_taskrobotEngagement,visible,504,2
505,33008_sessie3_taskrobotEngagement,visible,505,2
506,33008_sessie3_taskrobotEngagement,visible,506,2
507,33008_sessie3_taskrobotEngagement,visible,507,2
508,33008_sessie3_taskrobotEngagement,visible,508,2
509,33008_sessie3_taskrobotEngagement,visible,509,2
510,33008_sessie3_taskrobotEngagement,visible,510,2
511,33008_sessie3_taskrobotEngagement,visible,511,2
512,33008_sessie3_taskrobotEngagement,visible,512,2
513,33008_sessie3_taskrobotEngagement,visible,513,2
514,33008_sessie3_taskrobotEngagement,visible,514,2
515,33008_sessie3_taskrobotEngagement,visible,515,2
516,33008_sessie3_taskrobotEngagement,visible,516,2
