,tier,beginmm,begin,endmm,end,diffmm,diff,class,file,annotator,case
60,default,00:00:51.830,51.83,00:00:56.540,56.54,00:00:04.710,4.71,3,51014_sessie2_taskrobotEngagement,Daen,invisible
61,default,00:00:56.540,56.54,00:00:57.540,57.54,00:00:01.000,1.0,2,51014_sessie2_taskrobotEngagement,Daen,invisible
62,default,00:00:57.540,57.54,00:01:16.320,76.32,00:00:18.780,18.78,0,51014_sessie2_taskrobotEngagement,Daen,invisible
63,default,00:01:16.320,76.32,00:01:18.280,78.28,00:00:01.960,1.96,3,51014_sessie2_taskrobotEngagement,Daen,invisible
64,default,00:01:18.280,78.28,00:01:33.145,93.145,00:00:14.865,14.865,0,51014_sessie2_taskrobotEngagement,Daen,invisible
65,default,00:01:33.145,93.145,00:01:39.430,99.43,00:00:06.285,6.285,1,51014_sessie2_taskrobotEngagement,Daen,invisible
66,default,00:01:39.430,99.43,00:01:42.570,102.57,00:00:03.140,3.14,0,51014_sessie2_taskrobotEngagement,Daen,invisible
67,default,00:01:42.570,102.57,00:01:56.680,116.68,00:00:14.110,14.11,3,51014_sessie2_taskrobotEngagement,Daen,invisible
68,default,00:01:56.680,116.68,00:02:14.880,134.88,00:00:18.200,18.2,1,51014_sessie2_taskrobotEngagement,Daen,invisible
69,default,00:02:14.880,134.88,00:02:21.940,141.94,00:00:07.060,7.06,2,51014_sessie2_taskrobotEngagement,Daen,invisible
70,default,00:02:21.940,141.94,00:02:26.200,146.2,00:00:04.260,4.26,4,51014_sessie2_taskrobotEngagement,Daen,invisible
71,default,00:02:26.200,146.2,00:02:27.351,147.351,00:00:01.151,1.151,0,51014_sessie2_taskrobotEngagement,Daen,invisible
72,default,00:02:27.351,147.351,00:02:27.600,147.6,00:00:00.249,0.249,4,51014_sessie2_taskrobotEngagement,Daen,invisible
73,default,00:00:00.000,0.0,00:00:09.197,9.197,00:00:09.197,9.197,1,Proefpersoon11009_sessie2,Daen,invisible
74,default,00:00:09.197,9.197,00:00:15.097,15.097,00:00:05.900,5.9,3,Proefpersoon11009_sessie2,Daen,invisible
75,default,00:00:15.097,15.097,00:00:27.247,27.247,00:00:12.150,12.15,2,Proefpersoon11009_sessie2,Daen,invisible
76,default,00:00:27.247,27.247,00:00:29.220,29.22,00:00:01.973,1.973,4,Proefpersoon11009_sessie2,Daen,invisible
77,default,00:00:29.220,29.22,00:00:29.970,29.97,00:00:00.750,0.75,2,Proefpersoon11009_sessie2,Daen,invisible
78,default,00:00:29.970,29.97,00:00:59.770,59.77,00:00:29.800,29.8,0,Proefpersoon11009_sessie2,Daen,invisible
79,default,00:00:59.770,59.77,00:01:02.063,62.063,00:00:02.293,2.293,1,Proefpersoon11009_sessie2,Daen,invisible
80,default,00:01:02.063,62.063,00:01:11.500,71.5,00:00:09.437,9.437,2,Proefpersoon11009_sessie2,Daen,invisible
81,default,00:01:11.500,71.5,00:01:19.777,79.777,00:00:08.277,8.277,4,Proefpersoon11009_sessie2,Daen,invisible
82,default,00:01:19.777,79.777,00:01:34.028,94.028,00:00:14.251,14.251,1,Proefpersoon11009_sessie2,Daen,invisible
83,default,00:01:34.028,94.028,00:01:35.977,95.977,00:00:01.949,1.949,3,Proefpersoon11009_sessie2,Daen,invisible
84,default,00:01:35.977,95.977,00:01:41.398,101.398,00:00:05.421,5.421,1,Proefpersoon11009_sessie2,Daen,invisible
85,default,00:01:41.398,101.398,00:01:52.639,112.639,00:00:11.241,11.241,2,Proefpersoon11009_sessie2,Daen,invisible
86,default,00:01:52.639,112.639,00:02:01.303,121.303,00:00:08.664,8.664,0,Proefpersoon11009_sessie2,Daen,invisible
87,default,00:02:01.303,121.303,00:02:01.934,121.934,00:00:00.631,0.631,4,Proefpersoon11009_sessie2,Daen,invisible
88,default,00:00:00.000,0.0,00:00:11.008,11.008,00:00:11.008,11.008,1,Proefpersoon11012_sessie1,Daen,invisible
89,default,00:00:11.008,11.008,00:00:14.096,14.096,00:00:03.088,3.088,2,Proefpersoon11012_sessie1,Daen,invisible
90,default,00:00:14.096,14.096,00:00:15.803,15.803,00:00:01.707,1.707,1,Proefpersoon11012_sessie1,Daen,invisible
91,default,00:00:15.803,15.803,00:00:23.029,23.029,00:00:07.226,7.226,2,Proefpersoon11012_sessie1,Daen,invisible
92,default,00:00:23.029,23.029,00:00:25.387,25.387,00:00:02.358,2.358,1,Proefpersoon11012_sessie1,Daen,invisible
93,default,00:00:25.387,25.387,00:00:26.939,26.939,00:00:01.552,1.552,2,Proefpersoon11012_sessie1,Daen,invisible
94,default,00:00:26.939,26.939,00:00:37.270,37.27,00:00:10.331,10.331,1,Proefpersoon11012_sessie1,Daen,invisible
95,default,00:00:37.270,37.27,00:00:40.649,40.649,00:00:03.379,3.379,1,Proefpersoon11012_sessie1,Daen,invisible
96,default,00:00:40.649,40.649,00:00:43.158,43.158,00:00:02.509,2.509,4,Proefpersoon11012_sessie1,Daen,invisible
97,default,00:00:43.158,43.158,00:00:54.991,54.991,00:00:11.833,11.833,1,Proefpersoon11012_sessie1,Daen,invisible
98,default,00:00:54.991,54.991,00:00:56.057,56.057,00:00:01.066,1.066,3,Proefpersoon11012_sessie1,Daen,invisible
99,default,00:00:56.057,56.057,00:01:06.087,66.087,00:00:10.030,10.03,1,Proefpersoon11012_sessie1,Daen,invisible
100,default,00:01:06.087,66.087,00:01:07.409,67.409,00:00:01.322,1.322,2,Proefpersoon11012_sessie1,Daen,invisible
101,default,00:01:07.409,67.409,00:01:23.471,83.471,00:00:16.062,16.062,1,Proefpersoon11012_sessie1,Daen,invisible
102,default,00:01:23.471,83.471,00:01:28.130,88.13,00:00:04.659,4.659,2,Proefpersoon11012_sessie1,Daen,invisible
103,default,00:01:28.130,88.13,00:01:32.125,92.125,00:00:03.995,3.995,1,Proefpersoon11012_sessie1,Daen,invisible
104,default,00:01:32.125,92.125,00:01:34.056,94.056,00:00:01.931,1.931,2,Proefpersoon11012_sessie1,Daen,invisible
105,default,00:01:34.056,94.056,00:02:04.328,124.328,00:00:30.272,30.272,1,Proefpersoon11012_sessie1,Daen,invisible
106,default,00:02:04.328,124.328,00:02:05.312,125.312,00:00:00.984,0.984,2,Proefpersoon11012_sessie1,Daen,invisible
107,default,00:02:05.312,125.312,00:02:23.700,143.7,00:00:18.388,18.388,1,Proefpersoon11012_sessie1,Daen,invisible
108,default,00:02:23.700,143.7,00:02:24.934,144.934,00:00:01.234,1.234,4,Proefpersoon11012_sessie1,Daen,invisible
109,default,00:00:00.000,0.0,00:00:03.751,3.751,00:00:03.751,3.751,3,Proefpersoon11029_sessie2,Daen,invisible
110,default,00:00:03.751,3.751,00:00:09.149,9.149,00:00:05.398,5.398,1,Proefpersoon11029_sessie2,Daen,invisible
111,default,00:00:09.149,9.149,00:00:11.157,11.157,00:00:02.008,2.008,2,Proefpersoon11029_sessie2,Daen,invisible
112,default,00:00:11.157,11.157,00:00:14.703,14.703,00:00:03.546,3.546,4,Proefpersoon11029_sessie2,Daen,invisible
113,default,00:00:14.703,14.703,00:00:21.773,21.773,00:00:07.070,7.07,1,Proefpersoon11029_sessie2,Daen,invisible
114,default,00:00:21.773,21.773,00:00:30.621,30.621,00:00:08.848,8.848,2,Proefpersoon11029_sessie2,Daen,invisible
115,default,00:00:30.621,30.621,00:00:33.831,33.831,00:00:03.210,3.21,3,Proefpersoon11029_sessie2,Daen,invisible
116,default,00:00:33.831,33.831,00:00:43.310,43.31,00:00:09.479,9.479,1,Proefpersoon11029_sessie2,Daen,invisible
117,default,00:00:43.310,43.31,00:00:50.805,50.805,00:00:07.495,7.495,3,Proefpersoon11029_sessie2,Daen,invisible
118,default,00:00:50.805,50.805,00:00:57.617,57.617,00:00:06.812,6.812,1,Proefpersoon11029_sessie2,Daen,invisible
119,default,00:00:57.617,57.617,00:00:59.148,59.148,00:00:01.531,1.531,2,Proefpersoon11029_sessie2,Daen,invisible
120,default,00:00:59.148,59.148,00:01:13.422,73.422,00:00:14.274,14.274,1,Proefpersoon11029_sessie2,Daen,invisible
121,default,00:01:13.422,73.422,00:01:14.600,74.6,00:00:01.178,1.178,4,Proefpersoon11029_sessie2,Daen,invisible
122,default,00:01:14.600,74.6,00:01:22.749,82.749,00:00:08.149,8.149,3,Proefpersoon11029_sessie2,Daen,invisible
123,default,00:01:22.749,82.749,00:01:29.857,89.857,00:00:07.108,7.108,1,Proefpersoon11029_sessie2,Daen,invisible
124,default,00:01:29.857,89.857,00:01:34.903,94.903,00:00:05.046,5.046,2,Proefpersoon11029_sessie2,Daen,invisible
125,default,00:01:34.903,94.903,00:01:36.570,96.57,00:00:01.667,1.667,1,Proefpersoon11029_sessie2,Daen,invisible
126,default,00:01:36.570,96.57,00:01:49.524,109.524,00:00:12.954,12.954,1,Proefpersoon11029_sessie2,Daen,invisible
127,default,00:01:49.524,109.524,00:01:59.935,119.935,00:00:10.411,10.411,2,Proefpersoon11029_sessie2,Daen,invisible
128,default,00:01:59.935,119.935,00:02:01.304,121.304,00:00:01.369,1.369,1,Proefpersoon11029_sessie2,Daen,invisible
129,default,00:02:01.304,121.304,00:02:01.934,121.934,00:00:00.630,0.63,4,Proefpersoon11029_sessie2,Daen,invisible
130,default,00:00:00.010,0.01,00:00:02.060,2.06,00:00:02.050,2.05,2,33001_sessie1_taskrobotEngagement,Lin,visible
131,default,00:00:02.090,2.09,00:00:04.490,4.49,00:00:02.400,2.4,1,33001_sessie1_taskrobotEngagement,Lin,visible
132,default,00:00:04.510,4.51,00:00:08.030,8.03,00:00:03.520,3.52,2,33001_sessie1_taskrobotEngagement,Lin,visible
133,default,00:00:08.090,8.09,00:00:18.230,18.23,00:00:10.140,10.14,1,33001_sessie1_taskrobotEngagement,Lin,visible
134,default,00:00:18.240,18.24,00:00:22.500,22.5,00:00:04.260,4.26,2,33001_sessie1_taskrobotEngagement,Lin,visible
135,default,00:00:22.520,22.52,00:00:27.540,27.54,00:00:05.020,5.02,1,33001_sessie1_taskrobotEngagement,Lin,visible
136,default,00:00:27.580,27.58,00:00:29.100,29.1,00:00:01.520,1.52,2,33001_sessie1_taskrobotEngagement,Lin,visible
137,default,00:00:29.150,29.15,00:00:33.050,33.05,00:00:03.900,3.9,1,33001_sessie1_taskrobotEngagement,Lin,visible
138,default,00:00:33.100,33.1,00:00:35.760,35.76,00:00:02.660,2.66,2,33001_sessie1_taskrobotEngagement,Lin,visible
139,default,00:00:35.780,35.78,00:00:40.930,40.93,00:00:05.150,5.15,1,33001_sessie1_taskrobotEngagement,Lin,visible
140,default,00:00:40.970,40.97,00:00:42.420,42.42,00:00:01.450,1.45,2,33001_sessie1_taskrobotEngagement,Lin,visible
141,default,00:00:42.420,42.42,00:00:47.620,47.62,00:00:05.200,5.2,1,33001_sessie1_taskrobotEngagement,Lin,visible
142,default,00:00:47.640,47.64,00:00:49.270,49.27,00:00:01.630,1.63,2,33001_sessie1_taskrobotEngagement,Lin,visible
143,default,00:00:49.300,49.3,00:00:53.000,53.0,00:00:03.700,3.7,1,33001_sessie1_taskrobotEngagement,Lin,visible
144,default,00:00:53.070,53.07,00:00:56.240,56.24,00:00:03.170,3.17,2,33001_sessie1_taskrobotEngagement,Lin,visible
145,default,00:00:56.240,56.24,00:01:03.020,63.02,00:00:06.780,6.78,1,33001_sessie1_taskrobotEngagement,Lin,visible
146,default,00:01:03.160,63.16,00:01:05.940,65.94,00:00:02.780,2.78,2,33001_sessie1_taskrobotEngagement,Lin,visible
147,default,00:01:05.980,65.98,00:01:12.530,72.53,00:00:06.550,6.55,1,33001_sessie1_taskrobotEngagement,Lin,visible
148,default,00:01:12.540,72.54,00:01:15.780,75.78,00:00:03.240,3.24,2,33001_sessie1_taskrobotEngagement,Lin,visible
149,default,00:01:15.790,75.79,00:01:17.880,77.88,00:00:02.090,2.09,3,33001_sessie1_taskrobotEngagement,Lin,visible
150,default,00:01:17.910,77.91,00:01:19.340,79.34,00:00:01.430,1.43,2,33001_sessie1_taskrobotEngagement,Lin,visible
151,default,00:01:19.460,79.46,00:01:21.890,81.89,00:00:02.430,2.43,1,33001_sessie1_taskrobotEngagement,Lin,visible
152,default,00:01:21.990,81.99,00:01:22.530,82.53,00:00:00.540,0.54,2,33001_sessie1_taskrobotEngagement,Lin,visible
153,default,00:01:22.550,82.55,00:01:23.080,83.08,00:00:00.530,0.53,4,33001_sessie1_taskrobotEngagement,Lin,visible
154,default,00:01:23.110,83.11,00:01:26.480,86.48,00:00:03.370,3.37,1,33001_sessie1_taskrobotEngagement,Lin,visible
155,default,00:01:26.610,86.61,00:01:30.960,90.96,00:00:04.350,4.35,2,33001_sessie1_taskrobotEngagement,Lin,visible
156,default,00:01:31.000,91.0,00:01:32.660,92.66,00:00:01.660,1.66,1,33001_sessie1_taskrobotEngagement,Lin,visible
157,default,00:01:32.710,92.71,00:01:33.170,93.17,00:00:00.460,0.46,2,33001_sessie1_taskrobotEngagement,Lin,visible
158,default,00:01:33.220,93.22,00:01:34.000,94.0,00:00:00.780,0.78,1,33001_sessie1_taskrobotEngagement,Lin,visible
159,default,00:01:34.010,94.01,00:01:34.610,94.61,00:00:00.600,0.6,2,33001_sessie1_taskrobotEngagement,Lin,visible
160,default,00:01:34.640,94.64,00:01:35.430,95.43,00:00:00.790,0.79,1,33001_sessie1_taskrobotEngagement,Lin,visible
161,default,00:01:35.440,95.44,00:01:43.860,103.86,00:00:08.420,8.42,2,33001_sessie1_taskrobotEngagement,Lin,visible
162,default,00:01:43.950,103.95,00:01:45.860,105.86,00:00:01.910,1.91,1,33001_sessie1_taskrobotEngagement,Lin,visible
163,default,00:01:45.890,105.89,00:01:47.230,107.23,00:00:01.340,1.34,2,33001_sessie1_taskrobotEngagement,Lin,visible
164,default,00:00:00.040,0.04,00:00:03.890,3.89,00:00:03.850,3.85,2,33002_sessie1_taskrobotEngagement,Lin,visible
165,default,00:00:03.940,3.94,00:00:07.070,7.07,00:00:03.130,3.13,1,33002_sessie1_taskrobotEngagement,Lin,visible
166,default,00:00:07.140,7.14,00:00:07.600,7.6,00:00:00.460,0.46,1,33002_sessie1_taskrobotEngagement,Lin,visible
167,default,00:00:07.690,7.69,00:00:13.580,13.58,00:00:05.890,5.89,3,33002_sessie1_taskrobotEngagement,Lin,visible
168,default,00:00:13.620,13.62,00:00:14.870,14.87,00:00:01.250,1.25,1,33002_sessie1_taskrobotEngagement,Lin,visible
169,default,00:00:14.900,14.9,00:00:16.480,16.48,00:00:01.580,1.58,2,33002_sessie1_taskrobotEngagement,Lin,visible
170,default,00:00:16.510,16.51,00:00:17.100,17.1,00:00:00.590,0.59,1,33002_sessie1_taskrobotEngagement,Lin,visible
171,default,00:00:17.130,17.13,00:00:18.760,18.76,00:00:01.630,1.63,2,33002_sessie1_taskrobotEngagement,Lin,visible
172,default,00:00:18.790,18.79,00:00:25.890,25.89,00:00:07.100,7.1,2,33002_sessie1_taskrobotEngagement,Lin,visible
173,default,00:00:25.900,25.9,00:00:26.940,26.94,00:00:01.040,1.04,1,33002_sessie1_taskrobotEngagement,Lin,visible
174,default,00:00:26.960,26.96,00:00:28.270,28.27,00:00:01.310,1.31,2,33002_sessie1_taskrobotEngagement,Lin,visible
175,default,00:00:28.330,28.33,00:00:28.780,28.78,00:00:00.450,0.45,1,33002_sessie1_taskrobotEngagement,Lin,visible
176,default,00:00:28.820,28.82,00:00:31.970,31.97,00:00:03.150,3.15,2,33002_sessie1_taskrobotEngagement,Lin,visible
177,default,00:00:31.970,31.97,00:00:32.780,32.78,00:00:00.810,0.81,3,33002_sessie1_taskrobotEngagement,Lin,visible
178,default,00:00:32.780,32.78,00:00:34.350,34.35,00:00:01.570,1.57,1,33002_sessie1_taskrobotEngagement,Lin,visible
179,default,00:00:34.370,34.37,00:00:35.240,35.24,00:00:00.870,0.87,2,33002_sessie1_taskrobotEngagement,Lin,visible
180,default,00:00:35.280,35.28,00:00:36.670,36.67,00:00:01.390,1.39,1,33002_sessie1_taskrobotEngagement,Lin,visible
181,default,00:00:36.670,36.67,00:00:41.200,41.2,00:00:04.530,4.53,1,33002_sessie1_taskrobotEngagement,Lin,visible
182,default,00:00:41.250,41.25,00:00:43.580,43.58,00:00:02.330,2.33,2,33002_sessie1_taskrobotEngagement,Lin,visible
183,default,00:00:43.630,43.63,00:00:45.170,45.17,00:00:01.540,1.54,1,33002_sessie1_taskrobotEngagement,Lin,visible
184,default,00:00:45.180,45.18,00:00:46.940,46.94,00:00:01.760,1.76,1,33002_sessie1_taskrobotEngagement,Lin,visible
185,default,00:00:46.970,46.97,00:00:52.190,52.19,00:00:05.220,5.22,1,33002_sessie1_taskrobotEngagement,Lin,visible
186,default,00:00:52.200,52.2,00:01:04.380,64.38,00:00:12.180,12.18,1,33002_sessie1_taskrobotEngagement,Lin,visible
187,default,00:01:04.400,64.4,00:01:07.090,67.09,00:00:02.690,2.69,2,33002_sessie1_taskrobotEngagement,Lin,visible
188,default,00:01:07.110,67.11,00:01:08.960,68.96,00:00:01.850,1.85,2,33002_sessie1_taskrobotEngagement,Lin,visible
189,default,00:01:09.000,69.0,00:01:11.340,71.34,00:00:02.340,2.34,1,33002_sessie1_taskrobotEngagement,Lin,visible
190,default,00:01:11.370,71.37,00:01:13.250,73.25,00:00:01.880,1.88,2,33002_sessie1_taskrobotEngagement,Lin,visible
191,default,00:01:13.260,73.26,00:01:17.980,77.98,00:00:04.720,4.72,1,33002_sessie1_taskrobotEngagement,Lin,visible
192,default,00:01:17.980,77.98,00:01:18.970,78.97,00:00:00.990,0.99,2,33002_sessie1_taskrobotEngagement,Lin,visible
193,default,00:01:19.010,79.01,00:01:21.760,81.76,00:00:02.750,2.75,1,33002_sessie1_taskrobotEngagement,Lin,visible
194,default,00:00:00.060,0.06,00:00:08.160,8.16,00:00:08.100,8.1,1,33003_sessie1_taskrobotEngagement,Lin,visible
195,default,00:00:08.190,8.19,00:00:08.710,8.71,00:00:00.520,0.52,1,33003_sessie1_taskrobotEngagement,Lin,visible
196,default,00:00:08.730,8.73,00:00:09.650,9.65,00:00:00.920,0.92,0,33003_sessie1_taskrobotEngagement,Lin,visible
197,default,00:00:09.660,9.66,00:00:10.520,10.52,00:00:00.860,0.86,2,33003_sessie1_taskrobotEngagement,Lin,visible
198,default,00:00:10.570,10.57,00:00:11.790,11.79,00:00:01.220,1.22,1,33003_sessie1_taskrobotEngagement,Lin,visible
199,default,00:00:11.820,11.82,00:00:12.440,12.44,00:00:00.620,0.62,1,33003_sessie1_taskrobotEngagement,Lin,visible
200,default,00:00:12.480,12.48,00:00:16.900,16.9,00:00:04.420,4.42,2,33003_sessie1_taskrobotEngagement,Lin,visible
201,default,00:00:16.920,16.92,00:00:20.810,20.81,00:00:03.890,3.89,2,33003_sessie1_taskrobotEngagement,Lin,visible
202,default,00:00:20.830,20.83,00:00:25.480,25.48,00:00:04.650,4.65,4,33003_sessie1_taskrobotEngagement,Lin,visible
203,default,00:00:25.500,25.5,00:00:28.190,28.19,00:00:02.690,2.69,3,33003_sessie1_taskrobotEngagement,Lin,visible
204,default,00:00:28.200,28.2,00:00:37.740,37.74,00:00:09.540,9.54,1,33003_sessie1_taskrobotEngagement,Lin,visible
205,default,00:00:37.740,37.74,00:00:47.030,47.03,00:00:09.290,9.29,1,33003_sessie1_taskrobotEngagement,Lin,visible
206,default,00:00:47.040,47.04,00:00:52.840,52.84,00:00:05.800,5.8,1,33003_sessie1_taskrobotEngagement,Lin,visible
207,default,00:00:52.870,52.87,00:00:53.970,53.97,00:00:01.100,1.1,1,33003_sessie1_taskrobotEngagement,Lin,visible
208,default,00:00:54.000,54.0,00:00:58.470,58.47,00:00:04.470,4.47,3,33003_sessie1_taskrobotEngagement,Lin,visible
