,tier,beginmm,begin,endmm,end,diffmm,diff,class,file,case
22,default,00:00:26.630,26.63,00:00:29.750,29.75,00:00:03.120,3.12,3,33013_sessie3_taskEngagement1,visible
23,default,00:00:29.750,29.75,00:00:31.070,31.07,00:00:01.320,1.32,2,33013_sessie3_taskEngagement1,visible
24,default,00:00:31.070,31.07,00:00:37.770,37.77,00:00:06.700,6.7,3,33013_sessie3_taskEngagement1,visible
25,default,00:00:37.770,37.77,00:01:14.740,74.74,00:00:36.970,36.97,1,33013_sessie3_taskEngagement1,visible
26,default,00:01:14.740,74.74,00:01:16.180,76.18,00:00:01.440,1.44,2,33013_sessie3_taskEngagement1,visible
27,default,00:01:16.180,76.18,00:01:17.740,77.74,00:00:01.560,1.56,3,33013_sessie3_taskEngagement1,visible
28,default,00:01:17.740,77.74,00:01:19.200,79.2,00:00:01.460,1.46,2,33013_sessie3_taskEngagement1,visible
29,default,00:01:19.200,79.2,00:01:19.340,79.34,00:00:00.140,0.14,3,33013_sessie3_taskEngagement1,visible
30,default,00:01:19.340,79.34,00:01:25.290,85.29,00:00:05.950,5.95,1,33013_sessie3_taskEngagement1,visible
31,default,00:01:25.290,85.29,00:01:26.010,86.01,00:00:00.720,0.72,3,33013_sessie3_taskEngagement1,visible
32,default,00:01:26.010,86.01,00:01:27.840,87.84,00:00:01.830,1.83,2,33013_sessie3_taskEngagement1,visible
33,default,00:01:27.840,87.84,00:01:28.830,88.83,00:00:00.990,0.99,3,33013_sessie3_taskEngagement1,visible
34,default,00:01:28.830,88.83,00:01:30.830,90.83,00:00:02.000,2.0,2,33013_sessie3_taskEngagement1,visible
35,default,00:01:30.830,90.83,00:01:34.780,94.78,00:00:03.950,3.95,1,33013_sessie3_taskEngagement1,visible
36,default,00:01:34.780,94.78,00:01:39.870,99.87,00:00:05.090,5.09,3,33013_sessie3_taskEngagement1,visible
37,default,00:01:39.870,99.87,00:01:41.610,101.61,00:00:01.740,1.74,2,33013_sessie3_taskEngagement1,visible
38,default,00:01:41.610,101.61,00:01:43.440,103.44,00:00:01.830,1.83,1,33013_sessie3_taskEngagement1,visible
39,default,00:00:00.000,0.0,00:00:02.290,2.29,00:00:02.290,2.29,3,33013_sessie3_taskrobotEngagement,visible
40,default,00:00:02.290,2.29,00:00:07.410,7.41,00:00:05.120,5.12,1,33013_sessie3_taskrobotEngagement,visible
41,default,00:00:07.410,7.41,00:00:08.410,8.41,00:00:01.000,1.0,3,33013_sessie3_taskrobotEngagement,visible
42,default,00:00:08.410,8.41,00:00:09.490,9.49,00:00:01.080,1.08,2,33013_sessie3_taskrobotEngagement,visible
43,default,00:00:09.490,9.49,00:00:11.440,11.44,00:00:01.950,1.95,3,33013_sessie3_taskrobotEngagement,visible
44,default,00:00:11.440,11.44,00:00:12.330,12.33,00:00:00.890,0.89,2,33013_sessie3_taskrobotEngagement,visible
45,default,00:00:12.330,12.33,00:00:15.980,15.98,00:00:03.650,3.65,3,33013_sessie3_taskrobotEngagement,visible
46,default,00:00:15.980,15.98,00:00:19.670,19.67,00:00:03.690,3.69,1,33013_sessie3_taskrobotEngagement,visible
47,default,00:00:19.670,19.67,00:00:21.140,21.14,00:00:01.470,1.47,3,33013_sessie3_taskrobotEngagement,visible
48,default,00:00:21.140,21.14,00:00:23.280,23.28,00:00:02.140,2.14,2,33013_sessie3_taskrobotEngagement,visible
49,default,00:00:23.280,23.28,00:00:24.500,24.5,00:00:01.220,1.22,3,33013_sessie3_taskrobotEngagement,visible
50,default,00:00:24.500,24.5,00:00:41.970,41.97,00:00:17.470,17.47,1,33013_sessie3_taskrobotEngagement,visible
51,default,00:00:41.970,41.97,00:00:44.120,44.12,00:00:02.150,2.15,3,33013_sessie3_taskrobotEngagement,visible
52,default,00:00:44.120,44.12,00:00:49.190,49.19,00:00:05.070,5.07,1,33013_sessie3_taskrobotEngagement,visible
53,default,00:00:49.190,49.19,00:01:00.040,60.04,00:00:10.850,10.85,3,33013_sessie3_taskrobotEngagement,visible
54,default,00:01:00.040,60.04,00:01:01.840,61.84,00:00:01.800,1.8,1,33013_sessie3_taskrobotEngagement,visible
55,default,00:01:01.840,61.84,00:01:04.320,64.32,00:00:02.480,2.48,3,33013_sessie3_taskrobotEngagement,visible
56,default,00:01:04.320,64.32,00:01:05.490,65.49,00:00:01.170,1.17,2,33013_sessie3_taskrobotEngagement,visible
57,default,00:01:05.490,65.49,00:01:06.220,66.22,00:00:00.730,0.73,3,33013_sessie3_taskrobotEngagement,visible
58,default,00:01:06.220,66.22,00:01:22.410,82.41,00:00:16.190,16.19,1,33013_sessie3_taskrobotEngagement,visible
59,default,00:01:22.410,82.41,00:01:23.440,83.44,00:00:01.030,1.03,3,33013_sessie3_taskrobotEngagement,visible
60,default,00:01:23.440,83.44,00:01:31.408,91.408,00:00:07.968,7.968,1,33013_sessie3_taskrobotEngagement,visible
61,default,00:01:31.408,91.408,00:01:32.480,92.48,00:00:01.072,1.072,3,33013_sessie3_taskrobotEngagement,visible
62,default,00:00:00.000,0.0,00:00:12.093,12.093,00:00:12.093,12.093,1,51007_sessie1_taskrobotEngagement,invisible
63,default,00:00:12.093,12.093,00:00:18.013,18.013,00:00:05.920,5.92,2,51007_sessie1_taskrobotEngagement,invisible
64,default,00:00:18.013,18.013,00:00:23.373,23.373,00:00:05.360,5.36,1,51007_sessie1_taskrobotEngagement,invisible
65,default,00:00:23.373,23.373,00:00:24.373,24.373,00:00:01.000,1.0,2,51007_sessie1_taskrobotEngagement,invisible
66,default,00:00:24.373,24.373,00:00:35.940,35.94,00:00:11.567,11.567,1,51007_sessie1_taskrobotEngagement,invisible
67,default,00:00:35.940,35.94,00:00:37.180,37.18,00:00:01.240,1.24,2,51007_sessie1_taskrobotEngagement,invisible
68,default,00:00:37.180,37.18,00:00:38.410,38.41,00:00:01.230,1.23,1,51007_sessie1_taskrobotEngagement,invisible
69,default,00:00:38.410,38.41,00:00:39.530,39.53,00:00:01.120,1.12,2,51007_sessie1_taskrobotEngagement,invisible
70,default,00:00:39.530,39.53,00:00:41.570,41.57,00:00:02.040,2.04,1,51007_sessie1_taskrobotEngagement,invisible
71,default,00:00:41.570,41.57,00:00:44.500,44.5,00:00:02.930,2.93,2,51007_sessie1_taskrobotEngagement,invisible
72,default,00:00:44.500,44.5,00:00:51.980,51.98,00:00:07.480,7.48,1,51007_sessie1_taskrobotEngagement,invisible
73,default,00:00:51.980,51.98,00:00:56.080,56.08,00:00:04.100,4.1,3,51007_sessie1_taskrobotEngagement,invisible
74,default,00:00:56.080,56.08,00:00:57.080,57.08,00:00:01.000,1.0,2,51007_sessie1_taskrobotEngagement,invisible
75,default,00:00:57.080,57.08,00:00:58.080,58.08,00:00:01.000,1.0,1,51007_sessie1_taskrobotEngagement,invisible
76,default,00:00:58.080,58.08,00:00:59.080,59.08,00:00:01.000,1.0,3,51007_sessie1_taskrobotEngagement,invisible
77,default,00:00:59.080,59.08,00:01:07.340,67.34,00:00:08.260,8.26,2,51007_sessie1_taskrobotEngagement,invisible
78,default,00:01:07.340,67.34,00:01:18.350,78.35,00:00:11.010,11.01,1,51007_sessie1_taskrobotEngagement,invisible
79,default,00:01:18.350,78.35,00:01:19.830,79.83,00:00:01.480,1.48,3,51007_sessie1_taskrobotEngagement,invisible
80,default,00:01:19.830,79.83,00:01:25.900,85.9,00:00:06.070,6.07,1,51007_sessie1_taskrobotEngagement,invisible
81,default,00:01:25.900,85.9,00:01:33.220,93.22,00:00:07.320,7.32,2,51007_sessie1_taskrobotEngagement,invisible
82,default,00:01:33.220,93.22,00:01:35.732,95.732,00:00:02.512,2.512,1,51007_sessie1_taskrobotEngagement,invisible
83,default,00:01:35.732,95.732,00:01:35.960,95.96,00:00:00.228,0.228,4,51007_sessie1_taskrobotEngagement,invisible
84,default,00:00:00.000,0.0,00:00:02.190,2.19,00:00:02.190,2.19,2,51007_sessie2_taskrobotEngagement,invisible
85,default,00:00:02.190,2.19,00:00:06.840,6.84,00:00:04.650,4.65,1,51007_sessie2_taskrobotEngagement,invisible
86,default,00:00:06.840,6.84,00:00:09.820,9.82,00:00:02.980,2.98,2,51007_sessie2_taskrobotEngagement,invisible
87,default,00:00:09.820,9.82,00:00:15.690,15.69,00:00:05.870,5.87,1,51007_sessie2_taskrobotEngagement,invisible
88,default,00:00:15.690,15.69,00:00:17.600,17.6,00:00:01.910,1.91,2,51007_sessie2_taskrobotEngagement,invisible
89,default,00:00:17.600,17.6,00:00:21.860,21.86,00:00:04.260,4.26,1,51007_sessie2_taskrobotEngagement,invisible
90,default,00:00:21.860,21.86,00:00:27.040,27.04,00:00:05.180,5.18,2,51007_sessie2_taskrobotEngagement,invisible
91,default,00:00:27.040,27.04,00:00:30.191,30.191,00:00:03.151,3.151,1,51007_sessie2_taskrobotEngagement,invisible
92,default,00:00:30.191,30.191,00:00:31.340,31.34,00:00:01.149,1.149,2,51007_sessie2_taskrobotEngagement,invisible
93,default,00:00:31.340,31.34,00:00:33.150,33.15,00:00:01.810,1.81,1,51007_sessie2_taskrobotEngagement,invisible
94,default,00:00:33.150,33.15,00:00:39.150,39.15,00:00:06.000,6.0,4,51007_sessie2_taskrobotEngagement,invisible
95,default,00:00:39.150,39.15,00:00:41.110,41.11,00:00:01.960,1.96,2,51007_sessie2_taskrobotEngagement,invisible
96,default,00:00:41.110,41.11,00:00:41.550,41.55,00:00:00.440,0.44,4,51007_sessie2_taskrobotEngagement,invisible
97,default,00:00:41.550,41.55,00:00:48.710,48.71,00:00:07.160,7.16,2,51007_sessie2_taskrobotEngagement,invisible
98,default,00:00:48.710,48.71,00:00:53.110,53.11,00:00:04.400,4.4,4,51007_sessie2_taskrobotEngagement,invisible
99,default,00:00:53.110,53.11,00:00:54.390,54.39,00:00:01.280,1.28,1,51007_sessie2_taskrobotEngagement,invisible
100,default,00:00:54.390,54.39,00:01:02.310,62.31,00:00:07.920,7.92,2,51007_sessie2_taskrobotEngagement,invisible
101,default,00:01:02.310,62.31,00:01:22.260,82.26,00:00:19.950,19.95,1,51007_sessie2_taskrobotEngagement,invisible
102,default,00:01:22.260,82.26,00:01:27.770,87.77,00:00:05.510,5.51,2,51007_sessie2_taskrobotEngagement,invisible
103,default,00:01:27.770,87.77,00:01:29.940,89.94,00:00:02.170,2.17,1,51007_sessie2_taskrobotEngagement,invisible
104,default,00:01:29.940,89.94,00:01:38.280,98.28,00:00:08.340,8.34,2,51007_sessie2_taskrobotEngagement,invisible
105,default,00:01:38.280,98.28,00:01:42.080,102.08,00:00:03.800,3.8,1,51007_sessie2_taskrobotEngagement,invisible
106,default,00:01:42.080,102.08,00:01:47.120,107.12,00:00:05.040,5.04,4,51007_sessie2_taskrobotEngagement,invisible
107,default,00:01:47.120,107.12,00:01:49.500,109.5,00:00:02.380,2.38,1,51007_sessie2_taskrobotEngagement,invisible
108,default,00:01:49.500,109.5,00:01:51.010,111.01,00:00:01.510,1.51,4,51007_sessie2_taskrobotEngagement,invisible
109,default,00:01:51.010,111.01,00:01:54.241,114.241,00:00:03.231,3.231,1,51007_sessie2_taskrobotEngagement,invisible
110,default,00:01:54.241,114.241,00:01:54.480,114.48,00:00:00.239,0.239,4,51007_sessie2_taskrobotEngagement,invisible
111,default,00:00:00.000,0.0,00:00:02.500,2.5,00:00:02.500,2.5,0,51007_sessie3_taskrobotEngagement,invisible
112,default,00:00:02.500,2.5,00:00:15.270,15.27,00:00:12.770,12.77,1,51007_sessie3_taskrobotEngagement,invisible
113,default,00:00:15.270,15.27,00:00:17.030,17.03,00:00:01.760,1.76,3,51007_sessie3_taskrobotEngagement,invisible
114,default,00:00:17.030,17.03,00:00:20.910,20.91,00:00:03.880,3.88,1,51007_sessie3_taskrobotEngagement,invisible
115,default,00:00:20.910,20.91,00:00:43.690,43.69,00:00:22.780,22.78,0,51007_sessie3_taskrobotEngagement,invisible
116,default,00:00:43.690,43.69,00:00:45.370,45.37,00:00:01.680,1.68,1,51007_sessie3_taskrobotEngagement,invisible
117,default,00:00:45.370,45.37,00:00:46.370,46.37,00:00:01.000,1.0,2,51007_sessie3_taskrobotEngagement,invisible
118,default,00:00:46.370,46.37,00:00:47.980,47.98,00:00:01.610,1.61,0,51007_sessie3_taskrobotEngagement,invisible
119,default,00:00:47.980,47.98,00:00:49.900,49.9,00:00:01.920,1.92,4,51007_sessie3_taskrobotEngagement,invisible
120,default,00:00:49.900,49.9,00:00:50.980,50.98,00:00:01.080,1.08,2,51007_sessie3_taskrobotEngagement,invisible
121,default,00:00:50.980,50.98,00:01:09.070,69.07,00:00:18.090,18.09,1,51007_sessie3_taskrobotEngagement,invisible
122,default,00:01:09.070,69.07,00:01:11.420,71.42,00:00:02.350,2.35,3,51007_sessie3_taskrobotEngagement,invisible
123,default,00:01:11.420,71.42,00:01:12.350,72.35,00:00:00.930,0.93,0,51007_sessie3_taskrobotEngagement,invisible
124,default,00:01:12.350,72.35,00:01:14.370,74.37,00:00:02.020,2.02,1,51007_sessie3_taskrobotEngagement,invisible
125,default,00:01:14.370,74.37,00:01:22.100,82.1,00:00:07.730,7.73,0,51007_sessie3_taskrobotEngagement,invisible
126,default,00:01:22.100,82.1,00:01:32.840,92.84,00:00:10.740,10.74,1,51007_sessie3_taskrobotEngagement,invisible
127,default,00:01:32.840,92.84,00:01:33.730,93.73,00:00:00.890,0.89,2,51007_sessie3_taskrobotEngagement,invisible
128,default,00:01:33.730,93.73,00:01:35.570,95.57,00:00:01.840,1.84,3,51007_sessie3_taskrobotEngagement,invisible
129,default,00:01:35.570,95.57,00:01:37.610,97.61,00:00:02.040,2.04,2,51007_sessie3_taskrobotEngagement,invisible
130,default,00:01:37.610,97.61,00:01:44.650,104.65,00:00:07.040,7.04,3,51007_sessie3_taskrobotEngagement,invisible
131,default,00:01:44.650,104.65,00:01:54.710,114.71,00:00:10.060,10.06,2,51007_sessie3_taskrobotEngagement,invisible
132,default,00:01:54.710,114.71,00:01:57.010,117.01,00:00:02.300,2.3,1,51007_sessie3_taskrobotEngagement,invisible
133,default,00:01:57.010,117.01,00:01:59.380,119.38,00:00:02.370,2.37,2,51007_sessie3_taskrobotEngagement,invisible
134,default,00:01:59.380,119.38,00:02:00.960,120.96,00:00:01.580,1.58,3,51007_sessie3_taskrobotEngagement,invisible
135,default,00:02:00.960,120.96,00:02:01.960,121.96,00:00:01.000,1.0,2,51007_sessie3_taskrobotEngagement,invisible
136,default,00:02:01.960,121.96,00:02:06.541,126.541,00:00:04.581,4.581,1,51007_sessie3_taskrobotEngagement,invisible
137,default,00:02:06.541,126.541,00:02:06.760,126.76,00:00:00.219,0.219,4,51007_sessie3_taskrobotEngagement,invisible
138,default,00:00:00.000,0.0,00:00:04.360,4.36,00:00:04.360,4.36,1,51009_sessie1_taskrobotEngagement,invisible
139,default,00:00:04.360,4.36,00:00:12.840,12.84,00:00:08.480,8.48,3,51009_sessie1_taskrobotEngagement,invisible
140,default,00:00:12.840,12.84,00:00:23.440,23.44,00:00:10.600,10.6,2,51009_sessie1_taskrobotEngagement,invisible
141,default,00:00:23.440,23.44,00:00:27.860,27.86,00:00:04.420,4.42,1,51009_sessie1_taskrobotEngagement,invisible
142,default,00:00:27.860,27.86,00:00:32.170,32.17,00:00:04.310,4.31,2,51009_sessie1_taskrobotEngagement,invisible
143,default,00:00:32.170,32.17,00:00:36.860,36.86,00:00:04.690,4.69,1,51009_sessie1_taskrobotEngagement,invisible
144,default,00:00:36.860,36.86,00:00:38.653,38.653,00:00:01.793,1.793,2,51009_sessie1_taskrobotEngagement,invisible
145,default,00:00:38.653,38.653,00:00:40.490,40.49,00:00:01.837,1.837,1,51009_sessie1_taskrobotEngagement,invisible
146,default,00:00:40.490,40.49,00:00:43.480,43.48,00:00:02.990,2.99,2,51009_sessie1_taskrobotEngagement,invisible
147,default,00:00:43.480,43.48,00:00:48.840,48.84,00:00:05.360,5.36,1,51009_sessie1_taskrobotEngagement,invisible
148,default,00:00:48.840,48.84,00:01:04.810,64.81,00:00:15.970,15.97,2,51009_sessie1_taskrobotEngagement,invisible
149,default,00:01:04.811,64.811,00:01:15.780,75.78,00:00:10.969,10.969,1,51009_sessie1_taskrobotEngagement,invisible
150,default,00:01:15.780,75.78,00:01:21.260,81.26,00:00:05.480,5.48,3,51009_sessie1_taskrobotEngagement,invisible
151,default,00:01:21.260,81.26,00:01:23.020,83.02,00:00:01.760,1.76,1,51009_sessie1_taskrobotEngagement,invisible
152,default,00:01:23.020,83.02,00:01:24.860,84.86,00:00:01.840,1.84,3,51009_sessie1_taskrobotEngagement,invisible
153,default,00:01:24.860,84.86,00:01:39.290,99.29,00:00:14.430,14.43,2,51009_sessie1_taskrobotEngagement,invisible
154,default,00:01:39.290,99.29,00:01:44.220,104.22,00:00:04.930,4.93,1,51009_sessie1_taskrobotEngagement,invisible
155,default,00:01:44.220,104.22,00:01:48.250,108.25,00:00:04.030,4.03,2,51009_sessie1_taskrobotEngagement,invisible
156,default,00:01:48.250,108.25,00:01:52.732,112.732,00:00:04.482,4.482,1,51009_sessie1_taskrobotEngagement,invisible
157,default,00:01:52.732,112.732,00:01:52.840,112.84,00:00:00.108,0.108,4,51009_sessie1_taskrobotEngagement,invisible
158,default,00:00:00.000,0.0,00:00:03.210,3.21,00:00:03.210,3.21,1,51009_sessie2_taskrobotEngagement,invisible
159,default,00:00:03.210,3.21,00:00:05.320,5.32,00:00:02.110,2.11,0,51009_sessie2_taskrobotEngagement,invisible
160,default,00:00:05.320,5.32,00:00:13.970,13.97,00:00:08.650,8.65,1,51009_sessie2_taskrobotEngagement,invisible
161,default,00:00:13.970,13.97,00:00:15.510,15.51,00:00:01.540,1.54,3,51009_sessie2_taskrobotEngagement,invisible
162,default,00:00:15.510,15.51,00:00:16.950,16.95,00:00:01.440,1.44,2,51009_sessie2_taskrobotEngagement,invisible
163,default,00:00:16.950,16.95,00:00:20.170,20.17,00:00:03.220,3.22,0,51009_sessie2_taskrobotEngagement,invisible
164,default,00:00:20.170,20.17,00:00:21.580,21.58,00:00:01.410,1.41,1,51009_sessie2_taskrobotEngagement,invisible
165,default,00:00:21.580,21.58,00:00:25.560,25.56,00:00:03.980,3.98,4,51009_sessie2_taskrobotEngagement,invisible
166,default,00:00:25.560,25.56,00:00:38.130,38.13,00:00:12.570,12.57,1,51009_sessie2_taskrobotEngagement,invisible
167,default,00:00:38.130,38.13,00:00:39.090,39.09,00:00:00.960,0.96,0,51009_sessie2_taskrobotEngagement,invisible
168,default,00:00:39.090,39.09,00:00:45.340,45.34,00:00:06.250,6.25,2,51009_sessie2_taskrobotEngagement,invisible
169,default,00:00:45.340,45.34,00:00:53.710,53.71,00:00:08.370,8.37,1,51009_sessie2_taskrobotEngagement,invisible
170,default,00:00:53.710,53.71,00:00:54.550,54.55,00:00:00.840,0.84,3,51009_sessie2_taskrobotEngagement,invisible
171,default,00:00:54.550,54.55,00:01:06.990,66.99,00:00:12.440,12.44,1,51009_sessie2_taskrobotEngagement,invisible
172,default,00:01:06.990,66.99,00:01:14.705,74.705,00:00:07.715,7.715,0,51009_sessie2_taskrobotEngagement,invisible
173,default,00:01:14.705,74.705,00:01:17.460,77.46,00:00:02.755,2.755,1,51009_sessie2_taskrobotEngagement,invisible
174,default,00:01:17.460,77.46,00:01:19.660,79.66,00:00:02.200,2.2,0,51009_sessie2_taskrobotEngagement,invisible
175,default,00:01:19.660,79.66,00:01:27.280,87.28,00:00:07.620,7.62,1,51009_sessie2_taskrobotEngagement,invisible
176,default,00:01:27.280,87.28,00:01:28.320,88.32,00:00:01.040,1.04,3,51009_sessie2_taskrobotEngagement,invisible
177,default,00:01:28.320,88.32,00:01:36.901,96.901,00:00:08.581,8.581,1,51009_sessie2_taskrobotEngagement,invisible
178,default,00:01:36.901,96.901,00:01:37.240,97.24,00:00:00.339,0.339,4,51009_sessie2_taskrobotEngagement,invisible
179,default,00:00:00.000,0.0,00:00:06.370,6.37,00:00:06.370,6.37,1,51009_sessie3_taskrobotEngagement,invisible
180,default,00:00:06.370,6.37,00:00:11.070,11.07,00:00:04.700,4.7,3,51009_sessie3_taskrobotEngagement,invisible
181,default,00:00:11.070,11.07,00:00:14.110,14.11,00:00:03.040,3.04,2,51009_sessie3_taskrobotEngagement,invisible
182,default,00:00:14.110,14.11,00:00:15.120,15.12,00:00:01.010,1.01,3,51009_sessie3_taskrobotEngagement,invisible
183,default,00:00:15.120,15.12,00:00:16.480,16.48,00:00:01.360,1.36,0,51009_sessie3_taskrobotEngagement,invisible
184,default,00:00:16.480,16.48,00:00:18.760,18.76,00:00:02.280,2.28,1,51009_sessie3_taskrobotEngagement,invisible
185,default,00:00:18.760,18.76,00:00:19.500,19.5,00:00:00.740,0.74,0,51009_sessie3_taskrobotEngagement,invisible
186,default,00:00:19.500,19.5,00:00:36.050,36.05,00:00:16.550,16.55,4,51009_sessie3_taskrobotEngagement,invisible
187,default,00:00:36.050,36.05,00:00:38.140,38.14,00:00:02.090,2.09,0,51009_sessie3_taskrobotEngagement,invisible
188,default,00:00:38.140,38.14,00:00:42.110,42.11,00:00:03.970,3.97,4,51009_sessie3_taskrobotEngagement,invisible
189,default,00:00:42.110,42.11,00:00:43.720,43.72,00:00:01.610,1.61,2,51009_sessie3_taskrobotEngagement,invisible
190,default,00:00:43.720,43.72,00:00:46.450,46.45,00:00:02.730,2.73,1,51009_sessie3_taskrobotEngagement,invisible
191,default,00:00:46.450,46.45,00:00:54.070,54.07,00:00:07.620,7.62,2,51009_sessie3_taskrobotEngagement,invisible
192,default,00:00:54.070,54.07,00:00:57.910,57.91,00:00:03.840,3.84,0,51009_sessie3_taskrobotEngagement,invisible
193,default,00:00:57.910,57.91,00:00:58.900,58.9,00:00:00.990,0.99,1,51009_sessie3_taskrobotEngagement,invisible
194,default,00:00:58.900,58.9,00:01:06.760,66.76,00:00:07.860,7.86,4,51009_sessie3_taskrobotEngagement,invisible
195,default,00:01:06.760,66.76,00:01:10.880,70.88,00:00:04.120,4.12,1,51009_sessie3_taskrobotEngagement,invisible
196,default,00:01:10.880,70.88,00:01:15.160,75.16,00:00:04.280,4.28,2,51009_sessie3_taskrobotEngagement,invisible
197,default,00:01:15.160,75.16,00:01:20.000,80.0,00:00:04.840,4.84,0,51009_sessie3_taskrobotEngagement,invisible
198,default,00:01:20.000,80.0,00:01:21.720,81.72,00:00:01.720,1.72,2,51009_sessie3_taskrobotEngagement,invisible
199,default,00:01:21.720,81.72,00:01:26.860,86.86,00:00:05.140,5.14,1,51009_sessie3_taskrobotEngagement,invisible
200,default,00:01:26.860,86.86,00:01:28.460,88.46,00:00:01.600,1.6,3,51009_sessie3_taskrobotEngagement,invisible
201,default,00:01:28.460,88.46,00:01:30.020,90.02,00:00:01.560,1.56,1,51009_sessie3_taskrobotEngagement,invisible
202,default,00:01:30.020,90.02,00:01:33.320,93.32,00:00:03.300,3.3,0,51009_sessie3_taskrobotEngagement,invisible
203,default,00:01:33.320,93.32,00:01:37.750,97.75,00:00:04.430,4.43,4,51009_sessie3_taskrobotEngagement,invisible
204,default,00:01:37.750,97.75,00:01:41.505,101.505,00:00:03.755,3.755,1,51009_sessie3_taskrobotEngagement,invisible
205,default,00:01:41.505,101.505,00:01:51.230,111.23,00:00:09.725,9.725,4,51009_sessie3_taskrobotEngagement,invisible
206,default,00:01:51.230,111.23,00:01:53.410,113.41,00:00:02.180,2.18,1,51009_sessie3_taskrobotEngagement,invisible
207,default,00:01:53.410,113.41,00:02:01.270,121.27,00:00:07.860,7.86,2,51009_sessie3_taskrobotEngagement,invisible
208,default,00:02:01.270,121.27,00:02:04.540,124.54,00:00:03.270,3.27,1,51009_sessie3_taskrobotEngagement,invisible
209,default,00:02:04.540,124.54,00:02:12.300,132.3,00:00:07.760,7.76,4,51009_sessie3_taskrobotEngagement,invisible
210,default,00:02:12.300,132.3,00:02:16.650,136.65,00:00:04.350,4.35,0,51009_sessie3_taskrobotEngagement,invisible
211,default,00:02:16.650,136.65,00:02:21.320,141.32,00:00:04.670,4.67,4,51009_sessie3_taskrobotEngagement,invisible
212,default,00:02:21.320,141.32,00:02:29.824,149.824,00:00:08.504,8.504,0,51009_sessie3_taskrobotEngagement,invisible
213,default,00:02:29.824,149.824,00:02:34.950,154.95,00:00:05.126,5.126,2,51009_sessie3_taskrobotEngagement,invisible
214,default,00:02:34.950,154.95,00:02:36.811,156.811,00:00:01.861,1.861,1,51009_sessie3_taskrobotEngagement,invisible
215,default,00:02:36.811,156.811,00:02:37.160,157.16,00:00:00.349,0.349,4,51009_sessie3_taskrobotEngagement,invisible
216,default,00:00:00.000,0.0,00:00:02.400,2.4,00:00:02.400,2.4,1,51010_sessie1_taskrobotEngagement,invisible
217,default,00:00:02.400,2.4,00:00:09.470,9.47,00:00:07.070,7.07,3,51010_sessie1_taskrobotEngagement,invisible
218,default,00:00:09.470,9.47,00:00:19.420,19.42,00:00:09.950,9.95,2,51010_sessie1_taskrobotEngagement,invisible
